NOC,Year,Gold,Silver,Bronze,Total,AthleteCount,SportCount,EventCount,HasMedal,SexRatio,isHost
CGO,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
CHA,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
CHI,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
CHN,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
CIV,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
CMR,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
COD,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
COK,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
COL,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
COM,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
CPV,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
CRC,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
CRO,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
CUB,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
CYP,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
CZE,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
DEN,1896,1,2,3,6,3.0,5.0,12.0,1.0,0.0,0
DJI,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
DMA,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
DOM,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
ECU,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
EGY,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
ERI,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
ESA,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
ESP,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
EST,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
ETH,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
FIJ,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
FIN,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
FRA,1896,5,4,2,11,12.0,6.0,18.0,1.0,0.0,0
FSM,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
GAB,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
GAM,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
GBR,1896,2,3,2,7,10.0,7.0,19.0,1.0,0.0,0
GBS,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
GEO,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
GEQ,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
GER,1896,6,5,2,13,19.0,6.0,27.0,1.0,0.0,0
GHA,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
GRE,1896,10,18,19,47,102.0,9.0,39.0,1.0,0.0,1
GRN,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
GUA,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
GUI,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
GUM,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
GUY,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
HAI,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
HKG,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
HON,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
HUN,1896,2,1,3,6,7.0,6.0,14.0,1.0,0.0,0
INA,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
IND,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
IRI,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
IRL,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
IRQ,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
ISL,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
ISR,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
ISV,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
ITA,1896,0,0,0,0,1.0,1.0,1.0,0.0,0.0,0
IVB,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
JAM,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
JOR,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
JPN,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
KAZ,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
KEN,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
KGZ,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
KIR,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
KOR,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
KOS,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
KSA,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
KUW,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
LAO,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
LAT,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
LBA,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
LBN,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
LBR,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
LCA,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
LES,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
LIE,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
LTU,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
LUX,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
MAD,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
MAR,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
MAS,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
MAW,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
MDA,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
MDV,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
MEX,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
MGL,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
MHL,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
MKD,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
MLI,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
MLT,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
MNE,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
MON,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
MOZ,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
MRI,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
MTN,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
MYA,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
Mixed team,1896,1,0,1,2,,,,,,0
NAM,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
NCA,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
NED,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
NEP,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
NGR,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
NIG,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
NOR,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
NRU,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
NZL,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
OMA,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
PAK,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
PAN,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
PAR,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
PER,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
PHI,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
PLE,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
PLW,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
PNG,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
POL,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
POR,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
PRK,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
PUR,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
QAT,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
ROU,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
RSA,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
RUS,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
RWA,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
SAM,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
SEN,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
SEY,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
SGP,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
SKN,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
SLE,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
SLO,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
SMR,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
SOL,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
SOM,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
SRB,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
SRI,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
SSD,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
STP,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
SUD,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
SUI,1896,1,2,0,3,3.0,2.0,5.0,1.0,0.0,0
SUR,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
SVK,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
SWE,1896,0,0,0,0,1.0,2.0,5.0,0.0,0.0,0
SWZ,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
SYR,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
TAN,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
TGA,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
THA,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
TJK,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
TKM,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
TLS,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
TOG,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
TPE,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
TTO,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
TUN,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
TUR,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
TUV,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
UAE,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
UGA,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
UKR,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
URU,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
USA,1896,11,7,2,20,14.0,3.0,16.0,1.0,0.0,0
UZB,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
VAN,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
VEN,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
VIE,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
VIN,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
YEM,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
ZAM,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
ZIM,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
AFG,1900,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
ALB,1900,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
ALG,1900,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
AND,1900,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
ANG,1900,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
ANT,1900,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
ARG,1900,0,0,0,0,1.0,1.0,1.0,0.0,0.0,0
ARM,1900,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
ARU,1900,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
ASA,1900,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
AUS,1900,2,0,3,5,2.0,2.0,6.0,1.0,0.0,0
AUT,1900,0,3,3,6,16.0,4.0,17.0,1.0,0.0,0
AZE,1900,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
BAH,1900,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
BAN,1900,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
BAR,1900,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
BDI,1900,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
BEL,1900,6,7,4,17,64.0,10.0,31.0,1.0,0.0,0
BEN,1900,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
BER,1900,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
BHU,1900,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
BIH,1900,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
BIZ,1900,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
BLR,1900,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
BOL,1900,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
BOT,1900,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
BRA,1900,0,0,0,0,1.0,1.0,3.0,0.0,0.0,0
BRN,1900,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
BRU,1900,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
BUL,1900,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
BUR,1900,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
Bohemia,1900,0,1,1,2,,,,,,0
CAF,1900,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
CAM,1900,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
CAN,1900,1,0,1,2,4.0,1.0,5.0,1.0,0.0,0
CAY,1900,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
CGO,1900,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
CHA,1900,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
CHI,1900,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
CHN,1900,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
CIV,1900,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
CMR,1900,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
COD,1900,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
COK,1900,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
COL,1900,0,0,0,0,1.0,1.0,1.0,1.0,0.0,0
COM,1900,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
CPV,1900,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
CRC,1900,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
CRO,1900,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
CUB,1900,1,1,0,2,1.0,1.0,2.0,1.0,0.0,0
CYP,1900,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
CZE,1900,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
DEN,1900,1,3,2,6,13.0,5.0,14.0,1.0,0.0,0
DJI,1900,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
DMA,1900,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
DOM,1900,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
ECU,1900,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
EGY,1900,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
ERI,1900,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
ESA,1900,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
ESP,1900,1,0,0,1,9.0,4.0,7.0,1.0,0.0,0
EST,1900,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
ETH,1900,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
FIJ,1900,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
FIN,1900,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
FRA,1900,27,39,37,103,715.0,19.0,81.0,1.0,0.0,1
FSM,1900,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
GAB,1900,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
GAM,1900,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
GBR,1900,15,7,9,31,104.0,16.0,39.0,1.0,0.0,0
GBS,1900,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
GEO,1900,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
GEQ,1900,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
GER,1900,4,3,2,9,76.0,10.0,27.0,1.0,0.0,0
GHA,1900,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
GRE,1900,0,0,0,0,3.0,2.0,3.0,0.0,0.0,0
GRN,1900,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
GUA,1900,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
GUI,1900,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
GUM,1900,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
GUY,1900,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
HAI,1900,0,0,0,0,3.0,2.0,4.0,1.0,0.0,0
HKG,1900,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
HON,1900,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
HUN,1900,1,2,2,5,18.0,4.0,21.0,1.0,0.0,0
INA,1900,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
IND,1900,0,2,0,2,1.0,1.0,5.0,1.0,0.0,0
IRI,1900,0,0,0,0,1.0,1.0,1.0,0.0,0.0,0
IRL,1900,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
IRQ,1900,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
ISL,1900,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
ISR,1900,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
ISV,1900,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
ITA,1900,3,2,0,5,23.0,6.0,17.0,1.0,0.0,0
IVB,1900,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
JAM,1900,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
JOR,1900,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
JPN,1900,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
KAZ,1900,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
KEN,1900,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
KGZ,1900,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
KIR,1900,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
KOR,1900,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
KOS,1900,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
KSA,1900,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
KUW,1900,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
LAO,1900,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
LAT,1900,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
LBA,1900,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
LBN,1900,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
LBR,1900,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
LCA,1900,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
LES,1900,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
LIE,1900,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
LTU,1900,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
LUX,1900,1,0,0,1,1.0,1.0,1.0,1.0,0.0,0
MAD,1900,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
MAR,1900,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
MAS,1900,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
MAW,1900,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
MDA,1900,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
MDV,1900,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
MEX,1900,0,0,0,0,1.0,1.0,1.0,1.0,0.0,0
MGL,1900,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
MHL,1900,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
MKD,1900,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
MLI,1900,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
MLT,1900,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
MNE,1900,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
MON,1900,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
MOZ,1900,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
MRI,1900,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
MTN,1900,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
MYA,1900,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
Mixed team,1900,8,5,6,19,,,,,,0
NAM,1900,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
NCA,1900,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
NED,1900,0,2,3,5,35.0,7.0,18.0,1.0,0.0,0
NEP,1900,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
NGR,1900,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
NIG,1900,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
NOR,1900,0,2,3,5,7.0,2.0,9.0,1.0,0.0,0
NRU,1900,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
NZL,1900,0,0,0,0,1.0,1.0,1.0,1.0,0.0,0
OMA,1900,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
PAK,1900,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
PAN,1900,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
PAR,1900,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
PER,1900,0,0,0,0,1.0,1.0,2.0,0.0,0.0,0
PHI,1900,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
PLE,1900,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
PLW,1900,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
PNG,1900,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
POL,1900,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
POR,1900,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
PRK,1900,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
PUR,1900,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
QAT,1900,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
ROU,1900,0,0,0,0,1.0,1.0,1.0,0.0,0.0,0
RSA,1900,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
RUS,1900,0,0,0,0,4.0,2.0,3.0,0.0,0.0,0
RWA,1900,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
SAM,1900,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
SEN,1900,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
SEY,1900,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
SGP,1900,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
SKN,1900,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
SLE,1900,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
SLO,1900,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
